token,importance_norm_yta,importance_norm_nta,diff
my,0.9698047935060558,0.06918792658667344,0.9006168669193824
my,0.21675996972988434,0.8740642986719911,-0.6573043289421068
purse,0.8389174432818389,0.2181905348243491,0.6207269084574898
the,0.6105472966301088,0.00016660840465267246,0.6103806882254561
of,1.0,0.44060939921473935,0.5593906007852607
the,0.006331048745441607,0.5497926503684406,-0.543461601622999
the,0.6105472966301088,0.08887047548411806,0.5216768211459907
the,0.6105472966301088,0.09394955788361987,0.5165977387464888
i,0.5443253748012353,0.02853729123648124,0.5157880835647541
upset,0.8621213256199586,0.3514723790988129,0.5106489465211457
the,0.04010480155027938,0.5497926503684406,-0.5096878488181612
i,0.5443253748012353,0.03981451605714809,0.5045108587440872
her,0.5044871445644883,0.0019945090557169916,0.5024926355087713
purse,0.8389174432818389,0.3465196244469703,0.4923978188348686
the,0.06247361154146053,0.5497926503684406,-0.4873190388269801
the,0.0667182855418487,0.5497926503684406,-0.48307436482659194
her,0.5044871445644883,0.02867263347556219,0.4758145110889261
i,0.5443253748012353,0.06996419100140712,0.4743611837998282
the,0.6105472966301088,0.13749346077169963,0.4730538358584091
the,0.46593862895784316,0.00016660840465267246,0.4657720205531905
i,0.030369247954468843,0.4714830862206857,-0.44111383826621686
but,0.46615709985733206,0.04768395575362954,0.4184731441037025
the,0.006331048745441607,0.417794715565853,-0.4114636668204114
i,0.06762010579218153,0.4714830862206857,-0.40386298042850416
.,0.43840703941924963,0.037378504634476346,0.4010285347847733
.,0.4208150458478186,0.037378504634476346,0.38343654121334225
the,0.04010480155027938,0.417794715565853,-0.3776899140155736
the,0.46593862895784316,0.08887047548411806,0.37706815347372513
the,0.46593862895784316,0.09394955788361987,0.3719890710742233
.,0.43840703941924963,0.07264745498767151,0.36575958443157813
i,0.39370767206126206,0.02853729123648124,0.3651703808247808
the,0.18825098573661253,0.5497926503684406,-0.3615416646318281
i,0.11235377814627037,0.4714830862206857,-0.35912930807441534
the,0.06247361154146053,0.417794715565853,-0.3553211040243925
i,0.39370767206126206,0.03981451605714809,0.353893156004114
the,0.0667182855418487,0.417794715565853,-0.35107643002400435
.,0.4208150458478186,0.07264745498767151,0.3481675908601471
i,0.5443253748012353,0.19835304425282516,0.34597233054841015
browns,0.024515346165501602,0.3673403045144189,-0.3428249583489173
she,0.4699747436914559,0.13059805200154176,0.33937669168991413
i,0.5443253748012353,0.20771386119684937,0.33661151360438596
.,0.43840703941924963,0.10665801211455438,0.33174902730469524
the,0.46593862895784316,0.13749346077169963,0.32844516818614355
i,0.39370767206126206,0.06996419100140712,0.32374348105985495
.,0.4208150458478186,0.10665801211455438,0.3141570337332642
the,0.6105472966301088,0.2966989844908869,0.3138483121392219
i,0.5443253748012353,0.23229874698857395,0.3120266278126614
item,0.5083063206316886,0.20522878154889498,0.30307753908279356
mom,0.7071867264351065,1.0,-0.2928132735648935
the,0.006331048745441607,0.2966989844908869,-0.2903679357454453
