,precision,recall,f1-score,support
YTA,0.5202797202797202,0.17782026768642448,0.26505165657285357,4184.0
NTA,0.7152060211761704,0.9491281530387675,0.8157282118434453,11814.0
ES,0.0,0.0,0.0,1110.0
accuracy,0.6989127893383212,0.6989127893383212,0.6989127893383212,0.6989127893383212
macro avg,0.41182858048529686,0.375649473575064,0.3602599561387663,17108.0
weighted avg,0.621130131156513,0.6989127893383212,0.6281265621825626,17108.0
