,precision,recall,f1-score,support
YTA,0.48514851485148514,0.28107074569789675,0.3559322033898305,4184.0
NTA,0.7312799452429842,0.904350770272558,0.8086587950348169,11814.0
ES,0.28378378378378377,0.01891891891891892,0.03547297297297297,1110.0
accuracy,0.6944704231938275,0.6944704231938275,0.6944704231938275,0.6944704231938275
macro avg,0.5000707479594176,0.4014468116297912,0.4000213237992068,17108.0
weighted avg,0.6420506581271469,0.6944704231938275,0.6477724072670316,17108.0
