,precision,recall,f1-score,support
YTA,0.40373679935012186,0.4751434034416826,0.4365393061045235,4184.0
NTA,0.7690444145356662,0.7254951752158456,0.7466353064157847,11814.0
ES,0.16650625601539942,0.15585585585585585,0.1610051186598418,1110.0
accuracy,0.6273088613514145,0.6273088613514145,0.6273088613514145,0.6273088613514145
macro avg,0.4464291566337291,0.45216481150446136,0.44805991039338333,17108.0
weighted avg,0.6406095058441876,0.6273088613514145,0.6328001898789941,17108.0
