,precision,recall,f1-score,support
YTA,0.4608187134502924,0.18833652007648183,0.2673905666779776,4184.0
NTA,0.7148242022486515,0.931014051125783,0.8087202676372193,11814.0
ES,0.2727272727272727,0.002702702702702703,0.0053523639607493305,1110.0
accuracy,0.6891512742576572,0.6891512742576572,0.6891512742576572,0.6891512742576572
macro avg,0.4827900628087389,0.37401775796832254,0.3604877327586487,17108.0
weighted avg,0.6240195169025522,0.6891512742576572,0.6242064821629179,17108.0
